"";"text";"author";"poem"
"1";"
En costa lejana
y en mar de Pasión,
dijimos adioses
sin decir adiós.
Y no fue verdad
la alucinación.
Ni tú la creíste
ni la creo yo,
«y es cierto y no es cierto»
como en la canción.
Que yendo hacia el Sur
diciendo iba yo:
«Vamos hacia el mar
que devora al Sol».
Y yendo hacia el Norte
decía tu voz:
«Vamos a ver juntos
donde se hace el Sol».
Ni por juego digas
o exageración
que nos separaron
tierra y mar, que son
ella, sueño y el
alucinación.
No te digas solo
ni pida tu voz
albergue para uno
al albergador.
Echarás la sombra
que siempre se echó,
morderás la duna
con paso de dos...
Para que ninguno,
ni hombre ni dios,
nos llame partidos
como luna y sol;
para que ni roca
ni viento errador,
ni río con vado
ni árbol sombreador,
aprendan y digan
mentira o error
del Sur y del Norte,
del uno y del dos!";"gabriela_mistral";"adiós"
"2";"
Hay países que yo recuerdo 
como recuerdo mis infancias. 
Son países de mar o río, 
de pastales, de vegas y aguas. 
Aldea mía sobre el Ródano, 
rendida en río y en cigarras; 
Antilla en palmas verdi-negras 
que a medio mar está y me llama; 
¡roca lígure de Portofino, 
mar italiana, mar italiana! 
Me han traído a país sin río, 
tierras-Agar, tierras sin agua; 
Saras blancas y Saras rojas, 
donde pecaron otras razas, 
de pecado rojo de atridas 
que cuentan gredas tajeadas; 
que no nacieron como un niño 
con unas carnazones grasas, 
cuando las oigo, sin un silbo, 
cuando las cruzo, sin mirada. 
Quiero volver a tierras niñas; 
llévenme a un blando país de aguas. 
En grandes pastos envejezca 
y haga al río fábula y fábula. 
Tenga una fuente por mi madre 
y en la siesta salga a buscarla, 
y en jarras baje de una peña 
un agua dulce, aguda y áspera. 
Me venza y pare los alientos 
el agua acérrima y helada. 
¡Rompa mi vaso y al beberla 
me vuelva niñas las entrañas!";"gabriela_mistral";"agua"
"3";"
Anda libre en el surco, bate el ala en el viento, 
late vivo en el sol y se prende al pinar. 
No te vale olvidarlo como al mal pensamiento: 
¡le tendrás que escuchar! 
Habla lengua de bronce y habla lengua de ave, 
ruegos tímidos, imperativos de mar. 
No te vale ponerle gesto audaz, ceño grave: 
¡lo tendrás que hospedar! 
Gasta trazas de dueño; no le ablandan excusas. 
Rasga vasos de flor, hiende el hondo glaciar. 
No te vale decirle que albergarlo rehúsas: 
¡lo tendrás que hospedar! 
Tiene argucias sutiles en la réplica fina, 
argumentos de sabio, pero en voz de mujer.  
Ciencia humana te salva, menos ciencia divina: 
¡le tendrás que creer! 
Te echa venda de lino; tú la venda toleras. 
Te ofrece el brazo cálido, no le sabes huir. 
Echa a andar, tú le sigues hechizada aunque vieras 
¡que eso para en morir!";"gabriela_mistral";"amo_amor"
"4";"
Velloncito de mi carne, 
que en mis entrañas tejí, 
velloncito friolento, 
¡duérmete apegado a mí! 
La perdiz duerme en el trébol 
escuchándole latir: 
no te turben mis alientos, 
¡duérmete apegado a mí! 
Hierbecita temblorosa 
asombrada de vivir, 
no te sueltes de mi pecho: 
¡duérmete apegado a mí! 
Yo que todo lo he perdido 
ahora tiemblo hasta al dormir. 
No resbales de mi brazo: 
¡duérmete apegado a mí!";"gabriela_mistral";"apegado_a_mí"
"5";"
Siento mi corazón en la dulzura 
fundirse como ceras: 
son un óleo tardo 
y no un vino mis venas, 
y siento que mi vida se va huyendo 
callada y dulce como la gacela.";"gabriela_mistral";"atardecer"
"6";"
Se va de ti mi cuerpo gota a gota. 
Se va mi cara en un óleo sordo; 
se van mis manos en azogue suelto; 
se van mis pies en dos tiempos de polvo. 
¡Se te va todo, se nos va todo! 
Se va mi voz, que te hacía campana 
cerrada a cuanto no somos nosotros. 
Se van mis gestos que se devanaban, 
en lanzaderas, debajo tus ojos. 
Y se te va la mirada que entrega, 
cuando te mira, el enebro y el olmo. 
Me voy de ti con tus mismos alientos: 
como humedad de tu cuerpo evaporo. 
Me voy de ti con vigilia y con sueño, 
y en tu recuerdo más fiel ya me borro. 
Y en tu memoria me vuelvo como esos 
que no nacieron ni en llanos ni en sotos. 
Sangre sería y me fuese en las palmas 
de tu labor, y en tu boca de mosto. 
Tu entraña fuese, y sería quemada 
en marchas tuyas que nunca más oigo, 
¡y en tu pasión que retumba en la noche 
como demencia de mares solos! 
¡Se nos va todo, se nos va todo!";"gabriela_mistral";"ausencia"
"7";"
Él pasó con otra; 
yo le vi pasar. 
Siempre dulce el viento 
y el camino en paz. 
¡Y estos ojos míseros 
le vieron pasar! 
Él va amando a otra 
por la tierra en flor. 
Ha abierto el espino; 
pasa una canción. 
¡Y él va amando a otra 
por la tierra en flor! 
El besó a la otra 
a orillas del mar; 
resbaló en las olas 
la luna de azahar. 
¡Y no untó mi sangre 
la extensión del mar! 
El irá con otra 
por la eternidad. 
Habrá cielos dulces. 
(Dios quiera callar.) 
¡Y él irá con otra 
por la eternidad!";"gabriela_mistral";"balada"
"8";"
El nombre mío que he perdido, 
¿dónde vive, dónde prospera? 
Nombre de infancia, gota de leche, 
rama de mirto tan ligera. 
De no llevarme iba dichoso 
o de llevar mi adolescencia 
y con él ya no camino 
por campos y por praderas. 
Llanto mío no conoce 
y no la  quemó mi salmuera; 
cabellos blancos no me ha visto, 
ni mi boca con acidia, 
y no me habla si me encuentra. 
Pero me cuentan que camina 
por las quiebras de mi montaña 
tarde a la tarde silencioso 
y sin mi cuerpo y vuelto mi alma.";"gabriela_mistral";"balada_de_mi_nombre"
"9";"
Hay besos que pronuncian por sí solos
la sentencia de amor condenatoria,
hay besos que se dan con la mirada
hay besos que se dan con la memoria. 
Hay besos silenciosos, besos nobles
hay besos enigmáticos, sinceros
hay besos que se dan sólo las almas
hay besos por prohibidos, verdaderos. 
Hay besos que calcinan y que hieren,
hay besos que arrebatan los sentidos,
hay besos misteriosos que han dejado
mil sueños errantes y perdidos. 
Hay besos problemáticos que encierran
una clave que nadie ha descifrado,
hay besos que engendran la tragedia
cuantas rosas en broche han deshojado. 
Hay besos perfumados, besos tibios
que palpitan en íntimos anhelos,
hay besos que en los labios dejan huellas
como un campo de sol entre dos hielos. 
Hay besos que parecen azucenas
por sublimes, ingenuos y por puros,
hay besos traicioneros y cobardes,
hay besos maldecidos y perjuros. 
Judas besa a Jesús y deja impresa
en su rostro de Dios, la felonía,
mientras la Magdalena con sus besos
fortifica piadosa su agonía. 
Desde entonces en los besos palpita
el amor, la traición y los dolores,
en las bodas humanas se parecen
a la brisa que juega con las flores. 
Hay besos que producen desvaríos
de amorosa pasión ardiente y loca,
tú los conoces bien son besos míos
inventados por mí, para tu boca. 
Besos de llama que en rastro impreso
llevan los surcos de un amor vedado,
besos de tempestad, salvajes besos
que solo nuestros labios han probado. 
¿Te acuerdas del primero...? Indefinible;
cubrió tu faz de cárdenos sonrojos
y en los espasmos de emoción terrible,
llenáronse de lágrimas tus ojos. 
¿Te acuerdas que una tarde en loco exceso
te vi celoso imaginando agravios,
te suspendí en mis brazos... vibró un beso,
y qué viste después...? Sangre en mis labios. 
Yo te enseñé a besar: los besos fríos
son de impasible corazón de roca,
yo te enseñé a besar con besos míos
inventados por mí, para tu boca.";"gabriela_mistral";"besos"
"10";"
¡Ay! ¡Juguemos, hijo mío, 
a la reina con el rey! 
Este verde campo es tuyo. 
¿De quién más podría ser? 
Las oleadas de la alfalfa 
para ti se han de mecer. 
Este valle es todo tuyo. 
¿De quién más podría ser? 
Para que los disfrutemos 
los pomares se hacen miel. 
(¡Ay! ¡No es cierto que tiritas 
como el Niño de Belén 
y que el seno de tu madre 
se secó de padecer!) 
El cordero está espesando 
el vellón que he de tejer. 
Y son tuyas las majadas, 
¿De quién más podrían ser? 
Y la leche del establo 
que en la ubre ha de correr, 
y el manojo de las mieses 
¿de quién más podrían ser? 
(¡Ay! ¡No es cierto que tiritas 
como el Niño de Belén 
y que el seno de tu madre 
se secó de padecer!) 
¡Sí! ¡Juguemos, hijo mío, 
a la reina con el rey!";"gabriela_mistral";"canción_amarga"
