"";"titulo"
"1";"¡Primer evento de R-Ladies Barcelona!"
"2";"Scalable Machine Learning in R and Python with H2O"
"3";"RMarkdown tutorial and bioinformatics talk"
"4";"Google Analytics in R!"
"5";"Data wrangling with dplyr and tidyr"
"6";"Introducció a Bokeh: Una llibreria de visualització diferent"
"7";"Descifrando datos ómicos en R"
"8";"WomenInTech Summer Picnic"
"9";"Plots with ggplot2 are better plots"
"10";"Take your R scripts to a new planet: Jupyter notebooks with R!"
"11";"Relaunch of R-Ladies Barcelona!"
"12";"Introduction to R programming + Version control with Git and RStudio"
"13";"Road to Data Sciece"
"14";"Improve your plots with ggplot2"
"15";"Introduction to the Tidyverse"
"16";"Introduction to RMarkdown and friends"
"17";"Primer evento R-Ladies Bilbao lehen topaketa"
"18";"Visualización de datos: Introducción a ggplot2"
"19";"Desarrollo de paquetes de R con RStudio"
"20";"Testuak prozesatzen eta bisualizatzen R-rekin"
"21";"Primer Meetup R-Ladies BRC!"
"22";"Taller R desde cero con tidyverse R-Ladies BRC!"
"23";"Taller R desde cero con tidyverse R-Ladies BRC!"
"24";"Taller: Análisis de Componentes principales en el paquete FactoMineR"
"25";"Taller: Análisis de Componentes principales en el paquete FactoMineR"
"26";"R como un SIG: extracción de datos climáticos de WorldClim"
"27";"R como un SIG: extracción de datos climáticos de WorldClim ¡TURNO TARDE!"
"28";"Graficando con ggplot2 TURNO MAÑANA"
"29";"Graficando con ggplot2 TURNO TARDE"
"30";"R como lenguaje de programación TURNO MAÑANA"
"31";"R como lenguaje de programación TURNO Tarde"
"32";"Primer encuentro! Primeros pasos y conocernos"
"33";"Launch Meetup: The Role of R and Data Visualisation in Understanding Our World"
"34";"Data Dames: Women in Data Science"
"35";"3rd Melbourne Analytics Charity Christmas Gala (160 max capacity)"
"36";"Christmas Party and R-Trivia Night!"
"37";"Meetup Mixup Melbourne 2016"
"38";"Hadley is in town"
"39";"Learn About R Notebooks, aheatmap Package and Interactive Graphics"
"40";"Women's International Day Celebration - Hidden Figures screening"
"41";"Let's celebrate ""The International Women's Day"" over a breakfast"
"42";"CODE: Debugging the gender gap!"
"43";"Building easy and interactive dashboards in R with flexdashboard"
"44";"Project Management and Version Control with Git in RStudio"
"45";"Twitter Workshop"
"46";"Women in statistics and mathematics: repairing the leaky pipeline "
"47";"Sports Analytics with R and Community Engagement through Choose Maths"
